School Name,State Name [District] 2022-23,County Name [District] 2022-23,Web Site URL [District] 2022-23,Location Address 1 [District] 2022-23,Location City [District] 2022-23,Location ZIP [District] 2022-23,Phone Number [District] 2022-23,Locale [District] 2022-23,Latitude [District] 2022-23,Longitude [District] 2022-23,LEA Charter Status [District] 2022-23,"Total Students, All Grades (Excludes AE) [District] 2022-23","Total Students, All Grades (Includes AE) [District] 2022-23",Male Students [District] 2022-23,Female Students [District] 2022-23,American Indian/Alaska Native Students [District] 2022-23,Asian or Asian/Pacific Islander Students [District] 2022-23,Hispanic Students [District] 2022-23,Black or African American Students [District] 2022-23,White Students [District] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [District] 2022-23,Two or More Races Students [District] 2022-23,AP Program Offered
BASIS CHARTER SCHOOLS INC. (92863),ARIZONA,Maricopa County,http://www.basised.com,11440 N 136TH ST,SCOTTSDALE,85259,4809001858,12-City: Mid-size,33.590361,-111.788012,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",534,534,256,278,4,224,53,11,189,0,53,NO
BASIS CHARTER SCHOOLS INC. (92865),ARIZONA,Maricopa County,http://www.basised.com/chandler-primary-south/,204 W. Chandler Heights Rd,CHANDLER,85248,4804942200,11-City: Large,33.234601,-111.842757,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",496,496,244,252,5,376,21,28,42,0,24,NO
BASIS CHARTER SCHOOLS INC. (92997),ARIZONA,Maricopa County,http://www.basised.com,7975 N Hayden Rd,SCOTTSDALE,85258,4804942200,11-City: Large,33.553063,-111.897369,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",643,643,327,316,3,370,65,39,119,1,46,NO
BASIS CHARTER SCHOOLS INC. (934316),ARIZONA,Maricopa County,http://www.basised.com,11850 N 32ND ST,PHOENIX,85028,6025980330,11-City: Large,33.59384,-112.014065,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",770,770,372,398,3,463,68,21,170,0,45,NO
BELL CANYON CHARTER SCHOOL INC (79983),ARIZONA,Maricopa County,http://www.imaginebellcanyon.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6025477920,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",286,286,146,140,2,4,114,42,94,5,25,NO
BENCHMARK SCHOOL INC. (10972),ARIZONA,Maricopa County,http://www.benchmarkbobcats.org,4120 E ACOMA DR,PHOENIX,85032,6027653582,11-City: Large,33.620224,-111.993073,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",410,410,208,202,2,23,38,6,326,0,15,NO
BENJAMIN FRANKLIN CHARTER SCHOOL - QUEEN CREEK (4355),ARIZONA,Maricopa County,http://www.bfcsaz.com,22951 S POWER RD,QUEEN CREEK,85142,4802643710,21-Suburb: Large,33.240518,-111.683653,Charter district which is not an LEA for any federal program,3145,3145,1582,1563,15,79,570,64,2231,13,173,NO
BLUEPRINT EDUCATION (81041),ARIZONA,Maricopa County,http://www.blueprinteducation.org/,5651 W TALAVI BLVD STE 170,GLENDALE,85306,6026745555,11-City: Large,33.63554,-112.180071,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",607,607,240,367,10,11,275,58,229,0,24,NO
BRIGHT BEGINNINGS SCHOOL INC. (4362),ARIZONA,Maricopa County,http://www.bbschl.com,400 N ANDERSEN BLVD,CHANDLER,85224,4808211404,11-City: Large,33.308508,-111.874099,Charter district which is not an LEA for any federal program,238,238,110,128,3,34,44,2,140,0,15,NO
BUCKEYE ELEMENTARY DISTRICT (4269),ARIZONA,Maricopa County,http://www.besd33.org,25555 W DURANGO ST,BUCKEYE,85326,6239253400,31-Town: Fringe,33.427612,-112.600653,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5725,5725,2906,2819,57,34,3692,490,1189,21,242,NO
BUCKEYE UNION HIGH SCHOOL DISTRICT (4284),ARIZONA,Maricopa County,http://www.buhsd.org,1000 E NARRAMORE AVE,BUCKEYE,85326,6232691002,31-Town: Fringe,33.374442,-112.578186,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5406,5406,2722,2684,60,32,3253,394,1508,26,133,NO
CAFA INC. DBA LEARNING FOUNDATION AND PERFORMING (90327),ARIZONA,Maricopa County,http://www.lfapa.com,4055 E WARNER RD,GILBERT,85296,4806351900,21-Suburb: Large,33.334857,-111.703334,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",738,738,305,433,6,8,224,113,313,1,73,NO
CAFA INC. DBA LEARNING FOUNDATION PERFORMING ARTS (79971),ARIZONA,Maricopa County,http://www.lfapa.com,1120 S GILBERT RD STE 112 BLDG,GILBERT,85296,4806351900,11-City: Large,33.329614,-111.795933,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",190,190,89,101,1,1,111,18,44,0,15,NO
CALIBRE ACADEMY (79055),ARIZONA,Maricopa County,http://www.calibreacademy.com,4744 W GROVERS AVE,GLENDALE,85308,6235562179,21-Suburb: Large,33.617905,-112.397831,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",546,546,269,277,2,6,182,40,252,2,62,NO
CAMBRIDGE ACADEMY EAST INC (78888),ARIZONA,Maricopa County,http://cambridgeacademyaz.com/,9412 E BROWN RD,MESA,85207,4806412828,11-City: Large,33.437406,-111.627646,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",225,225,118,107,0,1,69,8,141,0,6,NO
CANDEO SCHOOLS INC. (89758),ARIZONA,Maricopa County,http://www.candeoschools.com,9965 W CALLE LEJOS,PEORIA,85383,6239796500,21-Suburb: Large,33.70313,-112.273484,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",594,594,293,301,0,73,64,10,407,1,39,NO
CAREER SUCCESS SCHOOLS (79047),ARIZONA,Maricopa County,http://www.csschools.com,16004 N 36TH DR,PHOENIX,85053,6022855525,11-City: Large,33.63081,-112.137201,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1071,1071,543,528,71,13,595,89,280,3,20,YES
CARTWRIGHT ELEMENTARY DISTRICT (4282),ARIZONA,Maricopa County,http://www.csd83.org/,5220 W INDIAN SCHOOL RD,PHOENIX,85031,6236914000,11-City: Large,33.496909,-112.170418,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,14338,14338,7407,6931,141,68,12841,782,349,20,137,NO
CASA ACADEMY (91934),ARIZONA,Maricopa County,http://www.casaacademy.org,8123 N 35th Ave. Suite B-2,PHOENIX,85051,6028925022,11-City: Large,33.555053,-112.132395,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",281,281,145,136,3,23,162,67,23,1,2,NO
CASA GRANDE ELEMENTARY DISTRICT (4446),ARIZONA,Pinal County,http://www.cgesd.org/,220 W KORTSEN RD,CASA GRANDE,85122,5208362111,13-City: Small,32.90932,-111.753951,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,6579,6579,3458,3121,304,40,4161,386,1345,22,321,NO
CASA GRANDE UNION HIGH SCHOOL DISTRICT (4453),ARIZONA,Pinal County,http://www.cguhsd.org,2730 N TREKELL RD,CASA GRANDE,85122,5203163360,13-City: Small,32.937747,-111.737062,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,4002,4002,2039,1963,229,27,2515,164,793,7,267,YES
CAVE CREEK UNIFIED DISTRICT (4244),ARIZONA,Maricopa County,http://www.ccusd93.org,33016 N 60TH ST,SCOTTSDALE,85266,4805752000,12-City: Mid-size,33.785837,-111.953594,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,4499,4499,2316,2183,14,71,649,36,3540,12,177,NO
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY (79385),ARIZONA,Pinal County,http://www.cavitschools.org,1789 W COOLIDGE AVE,COOLIDGE,85128,5204231944,41-Rural: Fringe,32.972565,-111.548721,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,72,72,28,44,0,3,46,2,19,0,2,NO
CHALLENGE SCHOOL INC. (6362),ARIZONA,Maricopa County,http://www.challengecharterschool.net/,5801 W GREENBRIAR DR,GLENDALE,85308,6029385411,21-Suburb: Large,33.643183,-112.185551,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",393,393,190,203,1,40,93,19,216,1,23,NO
CHALLENGER BASIC SCHOOL INC. (79886),ARIZONA,Maricopa County,http://www.ChallengerBasic.com,1315 N GREENFIELD RD,GILBERT,85234,4808301750,21-Suburb: Large,33.374327,-111.7388,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",320,320,154,166,6,3,34,2,264,1,10,NO
CHANDLER PREPARATORY ACADEMY (88299),ARIZONA,Maricopa County,http://chandlerprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,11-City: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",713,713,355,358,3,130,116,44,347,9,64,NO
CHANDLER UNIFIED DISTRICT #80 (4242),ARIZONA,Maricopa County,http://www.cusd80.com,1525 W FRYE RD,CHANDLER,85224,4808127000,11-City: Large,33.2987,-111.867,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,43716,43716,22344,21372,676,4786,12843,2300,20368,142,2601,NO
CHOICE ACADEMIES INC. (90138),ARIZONA,Maricopa County,http://www.atachoice.org,2323 W PARKSIDE LN,PHOENIX,85027,6029385517,11-City: Large,33.695278,-112.109925,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",658,658,341,317,0,261,57,21,286,2,31,NO
CICERO PREPARATORY ACADEMY (92316),ARIZONA,Maricopa County,http://ciceroprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,41-Rural: Fringe,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",502,502,234,268,7,18,92,15,326,1,43,NO
CONCORDIA CHARTER SCHOOL INC. (89556),ARIZONA,Maricopa County,http://www.concordiacharter.org,142 N DATE,MESA,85201,4804610555,11-City: Large,33.41797,-111.844891,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",94,94,40,54,4,1,75,5,9,0,0,NO
COOLIDGE UNIFIED DISTRICT (4442),ARIZONA,Pinal County,http://www.coolidgeschools.org,450 N ARIZONA BLVD,COOLIDGE,85128,5207232040,31-Town: Fringe,32.981401,-111.524793,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,2585,2585,1275,1310,246,11,1375,271,505,3,174,NO
CORNERSTONE CHARTER SCHOOLINC (79077),ARIZONA,Maricopa County,http://www.cornerstonehs.org,7107 N BLACK CANYON HWY,PHOENIX,85021,6025952198,11-City: Large,33.541142,-112.111786,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",150,150,79,71,2,0,106,21,15,0,6,NO
CORTEZ PARK CHARTER MIDDLE SCHOOL INC. (79988),ARIZONA,Maricopa County,http://www.cortezpark.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,6025899840,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",270,270,133,137,1,63,163,24,13,0,6,NO
COUNTRY GARDENS CHARTER SCHOOLS (79074),ARIZONA,Maricopa County,http://www.cgcsaz.com,6313 W SOUTHERN AVE,LAVEEN,85339,6239002230,21-Suburb: Large,33.39124,-112.194651,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",318,318,156,162,5,2,179,34,88,0,10,NO
CPLC COMMUNITY SCHOOLS (4300),ARIZONA,Maricopa County,http://www.flocrit.org/,715 West Mariposa Street,PHOENIX,85013,6022747318,11-City: Large,33.507299,-112.08305,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",74,74,0,74,1,1,57,5,7,0,3,NO
CREIGHTON ELEMENTARY DISTRICT (4263),ARIZONA,Maricopa County,http://www.creightonschools.org,2702 E FLOWER ST,PHOENIX,85016,6023816000,11-City: Large,33.48585,-112.022031,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,5075,5075,2597,2478,171,31,4210,271,277,19,96,NO
DAISY EDUCATION CORPORATION DBA PARAGON SCIENCE AC (89917),ARIZONA,Maricopa County,http://www.sonoranschools.org/paragon,5580 W CHANDLER BLVD,CHANDLER,85226,4808141600,11-City: Large,33.30704,-111.938571,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",548,548,272,276,6,133,44,151,197,0,17,YES
DAISY EDUCATION CORPORATION DBA SONORAN SCIENCE AC (89914),ARIZONA,Maricopa County,http://www.sonoranschools.org/phoenix,3535 E MCDOWELL RD,PHOENIX,85008,6022449855,11-City: Large,33.465354,-112.005594,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",380,380,169,211,3,34,94,214,28,1,6,NO
DAISY EDUCATION CORPORATION DBA. SONORAN SCIENCE A (90541),ARIZONA,Maricopa County,http://www.sonoranschools.org/peoria,17667 N 91ST AVE,PEORIA,85382,6237769344,21-Suburb: Large,33.643843,-112.254606,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",233,233,137,96,3,7,51,37,113,1,21,NO
DEER VALLEY CHARTER SCHOOLS INC. (79496),ARIZONA,Maricopa County,http://www.deervalleyacademy.org,3050 W AGUA FRIA FWY STE 250,PHOENIX,85027,6023884444,21-Suburb: Large,33.67008,-112.125291,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",26,26,18,8,1,0,11,3,11,0,0,NO
DEER VALLEY UNIFIED DISTRICT (4246),ARIZONA,Maricopa County,http://dvusd.org,20402 N 15TH AVE,PHOENIX,85027,6234455000,21-Suburb: Large,33.67122,-112.092273,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,33199,33199,17152,16047,360,1327,7334,1245,21162,99,1672,NO
DESERT HEIGHTS CHARTER SCHOOLS (81099),ARIZONA,Maricopa County,http://dhschools.org/,5821 W BEVERLY LN,GLENDALE,85306,6028962900,21-Suburb: Large,33.633464,-112.186385,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",907,907,465,442,16,19,270,44,478,7,73,NO
DYSART UNIFIED DISTRICT (4243),ARIZONA,Maricopa County,http://www.dysart.org/,15802 N PARKVIEW PL,SURPRISE,85374,6238767000,21-Suburb: Large,33.627751,-112.383868,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,23173,23173,11842,11331,216,394,9905,1676,9312,114,1556,NO
E-INSTITUTE CHARTER SCHOOLS INC. (79059),ARIZONA,Maricopa County,http://www.e-institute.us,4744 W GROVERS AVE,GLENDALE,85308,6025478806,11-City: Large,33.648551,-112.162028,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",818,818,361,457,16,7,367,69,330,1,28,NO
EAGLE COLLEGE PREP HARMONY LLC (91170),ARIZONA,Maricopa County,http://eagleprep.org/arizona/phoenix-south,2435 E PECAN RD,PHOENIX,85040,6022681212,11-City: Large,33.395,-112.028491,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",158,158,79,79,2,3,109,27,5,0,12,NO
EAGLE COLLEGE PREP MARYVALE LLC (91938),ARIZONA,Maricopa County,http://eagleprep.org/maryvale,3950 N 53RD AVE,PHOENIX,85031,6026380820,11-City: Large,33.493295,-112.174051,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",390,390,186,204,1,0,374,10,5,0,0,NO
EAGLE COLLEGE PREP MESA LLC. (91939),ARIZONA,Maricopa County,http://eagleprep.org/mesa,1619 E MAIN ST,MESA,85203,6026380802,11-City: Large,33.41402,-111.796161,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",173,173,84,89,4,0,148,18,3,0,0,NO
EAGLE SOUTH MOUNTAIN CHARTER INC. (89850),ARIZONA,Maricopa County,http://eagleprep.org/eagle-college-prep,2450 W SOUTH MOUNTAIN AVE,PHOENIX,85041,6023235400,11-City: Large,33.3715,-112.112591,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",458,458,234,224,5,8,341,39,38,1,26,NO
EAST MESA CHARTER ELEMENTARY SCHOOL INC. (87401),ARIZONA,Maricopa County,http://imagineeastmesa.org/,18052 N BLACK CANYON HWY,PHOENIX,85053,4803556830,11-City: Large,33.651525,-112.115995,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",628,628,313,315,9,7,268,27,284,6,27,NO
EAST VALLEY INSTITUTE OF TECHNOLOGY (4516),ARIZONA,Maricopa County,http://www.evit.com,1601 W MAIN ST,MESA,85201,4804614000,11-City: Large,33.412538,-111.864586,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,240,240,131,109,0,5,60,2,159,1,13,NO
EDISON PROJECT (743644),ARIZONA,Maricopa County,http://www.edisonschoolaz.org,8340 W Northern Ave,Glendale,85305,6232822871,21-Suburb: Large,33.553303,-112.240468,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",251,251,138,113,4,4,151,19,63,0,10,NO
EDKEY INC. (85749),ARIZONA,Maricopa County,http://caurusacademy.org,2045 W NORTHERN AVE,PHOENIX,85021,6235515083,41-Rural: Fringe,33.55241,-112.102721,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",274,274,151,123,2,2,45,4,201,0,20,NO
EDKEY INC. - ARIZONA CONSERVATORY FOR ARTS AND AC (79981),ARIZONA,Maricopa County,http://www.azconservatory.org/,1460 S HORNE,MESA,85204,6022664278,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",314,314,111,203,1,10,93,20,169,1,20,YES
EDKEY INC. - PATHFINDER ACADEMY (81045),ARIZONA,Maricopa County,http://sequoiaschools.org,1460 S HORNE,MESA,85204,4804613200,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1035,1035,535,500,10,9,154,11,777,1,73,NO
EDKEY INC. - REDWOOD ACADEMY (81043),ARIZONA,Maricopa County,http://www.azconservatory.org/,1460 S HORNE,MESA,85204,6238780986,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",180,180,78,102,0,5,82,20,55,0,18,NO
EDKEY INC. - SEQUOIA CHARTER SCHOOL (6446),ARIZONA,Maricopa County,http://www.sequoiasecondary.org/,1460 S HORNE,MESA,85204,4804613200,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",734,734,381,353,16,0,566,46,88,6,12,NO
EDKEY INC. - SEQUOIA CHOICE SCHOOLS (4329),ARIZONA,Maricopa County,http://www.sequoiachoice.org/,1460 S HORNE,MESA,85204,4804613222,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",3623,3623,1890,1733,110,29,859,146,2307,14,158,NO
EDKEY INC. - SEQUOIA PATHWAY ACADEMY (92226),ARIZONA,Maricopa County,http://sequoiaschools.org,1460 S HORNE,MESA,85204,4804613200,32-Town: Distant,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",843,843,412,431,39,9,249,136,338,7,65,NO
EDKEY INC. - SEQUOIA RANCH SCHOOL (81052),ARIZONA,Maricopa County,http://www.sequoiaschools.com,1460 S HORNE,MESA,85204,4804613200,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",100,100,47,53,0,0,80,18,2,0,0,NO
EDKEY INC. - SEQUOIA SCHOOL FOR THE DEAF AND HARD (81050),ARIZONA,Maricopa County,http://sequoiaschools.org,1460 S HORNE,MESA,85204,4804613200,11-City: Large,33.387587,-111.814937,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",68,68,44,24,4,1,30,12,19,1,1,NO
EDUCATIONAL OPTIONS FOUNDATION (90201),ARIZONA,Maricopa County,http://eohighschool.com/,6710 W CALLE LEJOS,PEORIA,85383,4806213365,21-Suburb: Large,33.704113,-112.203955,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",624,624,307,317,3,7,300,23,248,38,5,NO
EDUPRIZE SCHOOLS LLC (89412),ARIZONA,Pinal County,http://www.eduprizeschools.net,4567 W ROBERTS RD,QUEEN CREEK,85142,4808881610,41-Rural: Fringe,33.17521,-111.614951,Charter district which is not an LEA for any federal program,3119,3119,1489,1630,19,54,796,117,1988,11,134,NO
ELOY ELEMENTARY DISTRICT (4448),ARIZONA,Pinal County,http://www.eloyesd.org/,1011 N SUNSHINE BLVD,ELOY,85131,5204662100,41-Rural: Fringe,32.76011,-111.550011,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,787,787,408,379,25,0,604,83,46,4,25,NO
EMPOWER COLLEGE PREP (91277),ARIZONA,Maricopa County,http://www.empowercollegeprep.org,2411 W COLTER ST,PHOENIX,85015,6022835720,11-City: Large,33.512945,-112.111101,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1047,1047,556,491,9,8,870,118,33,2,7,YES
ESPIRITU COMMUNITY DEVELOPMENT CORP. (4335),ARIZONA,Maricopa County,http://www.espiritu.org,4848 S 2ND ST,PHOENIX,85040,6022437788,11-City: Large,33.401921,-112.071424,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",313,313,171,142,1,1,292,10,9,0,0,YES
ESPIRITU COMMUNITY DEVELOPMENT CORP. (92250),ARIZONA,Maricopa County,http://www.espiritu.org,4848 S 2ND ST,PHOENIX,85040,6022437788,11-City: Large,33.401921,-112.071424,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",418,418,189,229,0,0,405,4,4,4,1,YES
ESPIRITU SCHOOLS (92902),ARIZONA,Maricopa County,http://www.espiritu.org,4848 S 2ND ST,PHOENIX,85040,6022437788,11-City: Large,33.401921,-112.071424,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",70,70,36,34,1,0,67,1,1,0,0,YES
ESTRELLA EDUCATIONAL FOUNDATION (92988),ARIZONA,Maricopa County,http://estrellaeducationalfoundation.org/,3900 S 55TH AVE,PHOENIX,85043,6233124029,11-City: Large,33.412005,-112.178868,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",373,373,213,160,1,15,264,56,31,0,6,NO
ETHOS ACADEMY - A CHALLENGE FOUNDATION ACADEMY (92379),ARIZONA,Maricopa County,http://ethos.teamcfa.school,8840 N 43RD AVE,GLENDALE,85302,6232493211,21-Suburb: Large,33.56543,-112.153182,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",359,359,190,169,1,1,222,60,63,1,11,NO
EXCALIBUR CHARTER SCHOOLS INC. (79214),ARIZONA,Pinal County,http://www.excaliburschools.org,1045 S SAN MARCOS DR,Apache Junction,85120,4806714584,21-Suburb: Large,33.405071,-111.554107,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",296,296,147,149,3,0,124,8,148,2,11,NO
FIT KIDS INC. DBA CHAMPION SCHOOLS (78783),ARIZONA,Maricopa County,http://www.championschools.org,7900 S JESSE OWENS PKWY,PHOENIX,85042,6023416527,11-City: Large,33.37523,-112.069831,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",1274,1274,714,560,24,8,756,245,181,4,56,NO
FLORENCE UNIFIED SCHOOL DISTRICT (4437),ARIZONA,Pinal County,http://www.fusdaz.com,1000 S MAIN ST,FLORENCE,85132,5208663500,41-Rural: Fringe,33.02249,-111.390011,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,9090,9090,4705,4385,178,116,3725,697,3941,80,353,NO
FOUNTAIN HILLS UNIFIED DISTRICT (4247),ARIZONA,Maricopa County,http://www.fountainhillsschools.org/,16000 E PALISADES BLVD,FOUNTAIN HILLS,85268,4806645000,21-Suburb: Large,33.61555,-111.736191,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,1190,1190,657,533,200,15,184,17,686,2,86,NO
FOWLER ELEMENTARY DISTRICT (4273),ARIZONA,Maricopa County,http://www.fesd.org/,1617 S 67TH AVE,PHOENIX,85043,6237074500,11-City: Large,33.43299,-112.202631,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,3815,3815,1949,1866,31,22,3134,376,157,13,82,NO
FRANKLIN PHONETIC PRIMARY SCHOOL INC. (92596),ARIZONA,Maricopa County,http://www.franklinphoneticschoolsunnyslope.com/home,9317 N 2ND ST,PHOENIX,85020,6028706674,11-City: Large,33.571103,-112.071276,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",78,78,44,34,1,0,65,3,7,0,2,NO
FREEDOM PREPARATORY ACADEMY (1000979),ARIZONA,Maricopa County,http://www.freedomk12.org,465 N BLUEJAY DR,GILBERT,85234,4802562642,21-Suburb: Large,33.359207,-111.692011,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",160,160,82,78,0,2,14,5,137,0,2,NO
GAR LLC DBA STUDENT CHOICE HIGH SCHOOL (78997),ARIZONA,Maricopa County,http://www.studentchoicehighschool.com/,1833 N SCOTTSDALE RD,TEMPE,85281,6023344104,12-City: Mid-size,33.456133,-111.926049,Charter district which is not an LEA for any federal program,2040,2040,1025,1015,64,20,1299,199,448,5,5,NO
GEM CHARTER SCHOOL INC. (6372),ARIZONA,Maricopa County,http://www.gemcharter.com,1704 N CENTER ST,MESA,85201,4805990137,11-City: Large,33.446189,-111.831648,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",76,76,35,41,1,4,39,1,30,0,1,NO
GENESIS PROGRAM INC. (4332),ARIZONA,Maricopa County,http://www.genesiscity.org,525 E MCDOWELL RD,PHOENIX,85004,6022548050,11-City: Large,33.465396,-112.066142,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",53,53,22,31,2,0,45,2,2,1,1,NO
GEORGE GERVIN YOUTH CENTER INC. (90884),ARIZONA,Maricopa County,http://georgegervinprepacademy.org,40 W Baseline Rd,TEMPE,85283,4802192121,11-City: Large,33.392871,-112.020696,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",165,165,88,77,6,2,87,59,2,8,1,NO
GILA BEND UNIFIED DISTRICT (4238),ARIZONA,Maricopa County,http://www.gbusd.org,308 N Martin Ave,Gila Bend,85337,9286832225,43-Rural: Remote,32.9524,-112.718132,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,467,467,237,230,110,2,316,1,29,0,9,NO
GILBERT UNIFIED DISTRICT (4239),ARIZONA,Maricopa County,http://www.gilbertschools.net,1016 N BURK ST,GILBERT,85234,4804973300,21-Suburb: Large,33.348597,-111.79012,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,33281,33281,17010,16271,407,1150,9169,1048,19326,172,2009,NO
GLENDALE ELEMENTARY DISTRICT (4271),ARIZONA,Maricopa County,http://www.gesd40.org,7301 N 58TH AVE,GLENDALE,85301,6232377100,21-Suburb: Large,33.544076,-112.183234,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,9450,9450,4910,4540,156,276,6808,982,964,23,241,NO
GLENDALE PREPARATORY ACADEMY (89829),ARIZONA,Maricopa County,http://glendaleprep.greatheartsamerica.org/,4801 E WASHINGTON ST STE 250,PHOENIX,85034,6024387045,21-Suburb: Large,33.446648,-111.977644,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",610,610,287,323,3,80,89,12,389,5,32,NO
GLENDALE UNION HIGH SCHOOL DISTRICT (4285),ARIZONA,Maricopa County,http://www.guhsdaz.org/,7650 N 43RD AVE,GLENDALE,85301,6234356000,11-City: Large,33.549073,-112.152075,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,16535,16535,8465,8070,378,573,10227,1344,3510,39,464,NO
HAPPY VALLEY EAST (90906),ARIZONA,Pinal County,http://www.hveast.com,827 E 6TH AVE,MESA,85204,4808881342,21-Suburb: Large,33.259509,-111.562234,"Charter district which is an LEA for programs authorized under IDEA, ESEA and Perkins",447,447,228,219,4,11,144,59,227,1,1,NO
